territorio,fecha,factor_1_sube,factor_2_sube,factor_3_sube,factor_1_sube_valor,factor_2_sube_valor,factor_3_sube_valor,factor_1_baja,factor_2_baja,factor_3_baja,factor_1_baja_valor,factor_2_baja_valor,factor_3_baja_valor
Puntagorda,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0017867999,0.0009943801,0.00046979243,Inercia de la presión,Plazas hotel/día,Estancia media VV,-0.10936298,-0.0004983546095900238,-0.0003855876566376537
Puntallana,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0015914848,0.0009418198,0.0004784095,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.12256097,-0.0004880688211414963,-0.0003410323988646269
Pájara,2025-12-01,Inercia de la presión,VV reservadas,Estacionalidad,0.62690127,0.0027678243,0.0025542239,Viajeros entrados,Idx envejecimiento,Pob total,-0.00039939905,-0.00010527065023779869,-2.651667637110222e-05
San Andrés y Sauces,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.00167322,0.0009650727,0.00050460274,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.12967838,-0.0005187391070649028,-0.000275957805570215
San Bartolomé,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros alojados,0.0016139885,0.0009346406,0.0009134459,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.13634375,-0.0005090786726213992,-0.00044100626837462187
San Bartolomé de Tirajana,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.52094626,0.00321591,0.0016727073,Viviendas vacacionales,VV reservadas,Ingresos,-0.0025996626,-0.002074596006423235,-0.001490805414505303
San Cristóbal de La Laguna,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0016988688,0.0005954357,0.00048266468,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.13530946,-0.0005042251432314515,-0.00024341148673556745
San Juan de la Rambla,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.1124885,0.0034398488,0.0009255528,Viajeros entrados,Estancia media VV,Idx ancianidad,-0.0008860124,-0.000753529486246407,-0.00026863787206821144
San Miguel de Abona,2025-12-01,Estacionalidad,Idx dep menores 15,Tasa de reserva,0.0025586009,0.0003988905,0.00029069663,Inercia de la presión,Estancia media hotel,Viajeros entrados,-0.026145,-0.000839509186334908,-0.0005291213165037334
San Sebastián de La Gomera,2025-12-01,Estacionalidad,Viajeros entrados,Pernoctaciones,0.0022446255,0.0005527996,0.00054788205,Inercia de la presión,Plazas hotel/día,Idx dep menores 15,-0.074496895,-0.00042322854278609157,-0.00016923403018154204
