territorio,fecha,IPV_central,IPV_alcista,IPV_pesimista,IPV_inf,IPV_sup
Haría,2026-09-01,-0.6327989537325821,-0.619121424192414,-0.6464764832727501,-0.6993114886039206,-0.566157322788349
Haría,2026-10-01,-0.6335865427416234,-0.6183892876969923,-0.6487837977862544,-0.7084208005212462,-0.5599114424241409
Haría,2026-11-01,-0.6416400328153016,-0.6249230522662074,-0.6583570133643957,-0.7188388011781427,-0.5622166641101605
Haría,2026-12-01,-0.6289741580891431,-0.6107374520355859,-0.6472108641427006,-0.7139499658427043,-0.5454624647547933
Hermigua,2026-01-01,-0.7028859976166272,-0.701353359375121,-0.7044186358581334,-0.7257611064354773,-0.6795393308246804
Hermigua,2026-02-01,-0.7097438110468687,-0.7066785345638565,-0.7128090875298808,-0.7421659861170756,-0.6778961648060899
Hermigua,2026-03-01,-0.7070074609705563,-0.7024095462460381,-0.7116053756950748,-0.7463051582288257,-0.6689810522125392
Hermigua,2026-04-01,-0.7306562731687456,-0.7245257202027212,-0.7367868261347699,-0.7711471099053437,-0.690534549710294
Hermigua,2026-05-01,-0.7394039110915042,-0.7317407198839737,-0.7470671022990346,-0.7797133643011567,-0.699032410850079
Hermigua,2026-06-01,-0.7516074859225248,-0.7424116564734883,-0.7608033153715613,-0.7921808814090818,-0.7096601977496383
Hermigua,2026-07-01,-0.7421648568944663,-0.7314363892039237,-0.752893324585009,-0.7909154354919345,-0.6933128101616189
Hermigua,2026-08-01,-0.7172376588705137,-0.7049765529384648,-0.7294987648025625,-0.7767400377934308,-0.6547320330996204
Hermigua,2026-09-01,-0.7372231910788786,-0.7234294469053236,-0.7510169352524335,-0.7913491525486506,-0.6818350354759564
Hermigua,2026-10-01,-0.7648072471091617,-0.7494808646941007,-0.7801336295242226,-0.8164990527044579,-0.7144575658730745
Hermigua,2026-11-01,-0.7225196445547428,-0.7056606238981757,-0.7393786652113097,-0.796747853197056,-0.6489495408332041
Hermigua,2026-12-01,-0.7223375327304615,-0.7039458738323883,-0.7407291916285346,-0.7976531101911011,-0.6469521286523706
Icod de los Vinos,2026-01-01,-0.3695840922085515,-0.3665267538632198,-0.3726414305538831,-0.4014283857848035,-0.33765821470170443
Icod de los Vinos,2026-02-01,-0.36333001698161776,-0.35721534029095436,-0.3694446936722811,-0.41067529031767747,-0.31785750051992656
Icod de los Vinos,2026-03-01,-0.35708842031119076,-0.3479164052751957,-0.3662604353471857,-0.4165225666567154,-0.29676254631033416
Icod de los Vinos,2026-04-01,-0.3795261922043959,-0.3672968388230691,-0.39175554558572256,-0.4423755199272151,-0.3171676145851953
Icod de los Vinos,2026-05-01,-0.3908209620370058,-0.3755342703103474,-0.4061076537636642,-0.4613986227258726,-0.3209281731219561
Icod de los Vinos,2026-06-01,-0.413814135425667,-0.39547010535367694,-0.4321581654976572,-0.47998869519221404,-0.3446205434360024
Icod de los Vinos,2026-07-01,-0.39663952225811483,-0.375238153840793,-0.41804089067543654,-0.47837950527298534,-0.31676116106782465
Icod de los Vinos,2026-08-01,-0.342646347919984,-0.3181876411573306,-0.3671050546826375,-0.4458128476583925,-0.23782033542985706
Icod de los Vinos,2026-09-01,-0.36942909059390083,-0.3419130454859156,-0.39694513570188594,-0.46582520085865176,-0.27138191244449833
Icod de los Vinos,2026-10-01,-0.3813322637553672,-0.3507588803020504,-0.41190564720868406,-0.48262799478915297,-0.27889481483223033
Icod de los Vinos,2026-11-01,-0.40141064653598124,-0.36777992473733273,-0.43504136833462975,-0.497220198587032,-0.3016677523815743
